Item;Drops from?;Info
Underworld Ice Golem, Underworld Ice Bug;The heart of the ice creatures.;
;;
Red Ghost Stump, Red Dryad;These seeds crackle formally with vitality.;
;;
Stone Golem, Rock Golem;This sand seems to be as blood for the stone creatures in the desert.;
;;
Setaou Leader, Setaou-Soldier;Even the ashes of a demon hold within a other-worldly power in them.;
;;
Evil Tree, Ghost Stump, Dryad;High-quality plant secretion.;
;;
Ogre Warrior, Ogre Butcher;An ugly weapon with robust thorns.;
;;
Beran-Setaou, Halloween-Chest, Eternal Winter Chest, Athena's Chest, Milon's Chest, Clam, Tombola, Basket with Easter Eggs, Magic Egg;The snow-white treasure from the inside of a shell.;
;;
Beran-Setaou, Halloween-Chest, Eternal Winter Chest, Athena's Chest,;A splendourful blue pearl;
Milon's Chest, Clam, Tombola, Basket with Easter Eggs, Power Chest, Magic Egg;;
Beran-Setaou, Halloween-Chest, Eternal Winter Chest, Athena's Chest,;A blood red pearl.;
Milon's Chest, Clam, Tombola, Basket with Easter Eggs, Power Chest, Magic Egg;;
Alchemist (Energy System);Fragment from an energy crystal. 30 pieces can be melted into a crystal.;
